,path,X,Y,Z
0,C:\Users\isaac\Downloads\vlogs\frames\92256.jpg,0.09997435774445883,-0.003073962397408053,0.044365546175322956
3,C:\Users\isaac\Downloads\vlogs\frames\92265.jpg,0.10175042757196057,-0.05361086115621613,-0.0808430476594601
5,C:\Users\isaac\Downloads\vlogs\frames\9227.jpg,0.0324128032202972,-0.25545059818824467,-0.0700484585762956
8,C:\Users\isaac\Downloads\vlogs\frames\92279.jpg,-0.6056679193447475,-0.05856414539559572,-0.0436213726487518
10,C:\Users\isaac\Downloads\vlogs\frames\92283.jpg,-0.26126690672777625,0.1152687565908371,-0.024868265399518953
12,C:\Users\isaac\Downloads\vlogs\frames\92288.jpg,-0.2775680045986651,-0.003536680043009719,-0.0516976745082803
14,C:\Users\isaac\Downloads\vlogs\frames\92292.jpg,-0.2663369737325516,0.09946789326183095,-0.14286050918395604
16,C:\Users\isaac\Downloads\vlogs\frames\92297.jpg,-0.11059967822841256,-0.14099363188760441,-0.22081460196276867
18,C:\Users\isaac\Downloads\vlogs\frames\92300.jpg,-0.47809929448740046,-0.5542444554399701,-0.13752790332906006
20,C:\Users\isaac\Downloads\vlogs\frames\92305.jpg,-0.05327594418130602,-0.10780943670355465,0.1411937647456919
22,C:\Users\isaac\Downloads\vlogs\frames\9231.jpg,0.2119422386091326,0.004635901134605707,-0.2165731389828575
26,C:\Users\isaac\Downloads\vlogs\frames\92323.jpg,-0.16676589800776914,0.08250913501683232,-0.007659058546886818
28,C:\Users\isaac\Downloads\vlogs\frames\92328.jpg,0.08634627933232646,0.044224830348217115,0.18912459440241827
30,C:\Users\isaac\Downloads\vlogs\frames\92332.jpg,0.2880723604394167,-0.28130224471294274,-0.04528241272985137
32,C:\Users\isaac\Downloads\vlogs\frames\92337.jpg,0.05186882262335513,-0.30329725046256395,0.15678478944924146
34,C:\Users\isaac\Downloads\vlogs\frames\92341.jpg,0.08016818862388475,-0.4441828252808749,-0.1547753631103172
36,C:\Users\isaac\Downloads\vlogs\frames\92346.jpg,0.21007770674004436,-0.2566736293782947,-0.20770234605610055
38,C:\Users\isaac\Downloads\vlogs\frames\92350.jpg,0.01021505400788731,0.027712711321821976,0.012842331026963685
40,C:\Users\isaac\Downloads\vlogs\frames\92355.jpg,-0.05216541318327634,-0.15107547101532662,-0.0685679687140511
42,C:\Users\isaac\Downloads\vlogs\frames\9236.jpg,0.2855859511542791,0.048862359498192925,0.06067615954487314
45,C:\Users\isaac\Downloads\vlogs\frames\92369.jpg,0.23651263551591512,-0.06284237325001087,-0.28071285296597337
