,path,X,Y,Z
0,C:\Users\isaac\Downloads\vlogs\frames\51307.jpg,-0.2660448102690652,-0.05931304048764824,0.06665284419365587
2,C:\Users\isaac\Downloads\vlogs\frames\51308.jpg,0.5631277628150713,-0.10813712378145766,0.001515594022255055
4,C:\Users\isaac\Downloads\vlogs\frames\51309.jpg,0.38406223499039055,-0.11277995095467117,-0.014724295245899894
6,C:\Users\isaac\Downloads\vlogs\frames\5131.jpg,-0.023907572690870935,0.01057494791673756,0.05439398576082985
8,C:\Users\isaac\Downloads\vlogs\frames\51310.jpg,0.048321121105508326,-0.03457258737561481,0.13834335698382866
10,C:\Users\isaac\Downloads\vlogs\frames\51311.jpg,0.0004902969128771044,-0.01564604428755644,0.16436253038059592
12,C:\Users\isaac\Downloads\vlogs\frames\51312.jpg,-0.0888863741211276,-0.08893575348440244,0.14902328650249677
14,C:\Users\isaac\Downloads\vlogs\frames\51313.jpg,0.5552759974955666,-0.02423940489263274,0.09509017800491537
16,C:\Users\isaac\Downloads\vlogs\frames\51314.jpg,-0.24673937762642187,-0.05660615704237029,0.10302117839206115
18,C:\Users\isaac\Downloads\vlogs\frames\51315.jpg,-0.11048452343443227,-0.05394435597424637,0.15864329273821898
20,C:\Users\isaac\Downloads\vlogs\frames\51316.jpg,0.37855800462018874,-0.07103153792038114,0.06466734864905192
22,C:\Users\isaac\Downloads\vlogs\frames\51317.jpg,0.19738388675742277,-0.13953098011209936,0.12318771408018639
24,C:\Users\isaac\Downloads\vlogs\frames\51318.jpg,-0.3494050267426618,-0.0331285629592334,0.1219071685538881
26,C:\Users\isaac\Downloads\vlogs\frames\51319.jpg,-0.20149467941293522,-0.1347217569808369,0.13093728238137417
28,C:\Users\isaac\Downloads\vlogs\frames\5132.jpg,-0.07588348604449278,-0.14563714339818362,0.25167343404909437
30,C:\Users\isaac\Downloads\vlogs\frames\51320.jpg,-0.018468120015290124,-0.04453406734982553,0.10487706993859433
33,C:\Users\isaac\Downloads\vlogs\frames\51322.jpg,-0.22854962556478267,-0.15007579250829498,-0.0803300770412535
35,C:\Users\isaac\Downloads\vlogs\frames\51323.jpg,-0.045890100791551126,-0.1278433265305981,-0.1544459685616797
37,C:\Users\isaac\Downloads\vlogs\frames\51324.jpg,-0.12109935627622337,-0.15717741072217392,-0.22160912741076685
39,C:\Users\isaac\Downloads\vlogs\frames\51325.jpg,-0.2702999146199258,-0.18252793530873132,-0.16275377911844108
41,C:\Users\isaac\Downloads\vlogs\frames\51326.jpg,-0.021533522674280835,-0.20122077369380115,-0.18606808580209627
43,C:\Users\isaac\Downloads\vlogs\frames\51327.jpg,-0.05817721618692405,-0.1927574407968193,-0.16240852971599715
45,C:\Users\isaac\Downloads\vlogs\frames\51328.jpg,-0.10213398990655309,-0.17017031611813785,-0.1515204934619459
47,C:\Users\isaac\Downloads\vlogs\frames\51329.jpg,-0.0065841962801786785,-0.06909058664984333,-0.13971342836239156
49,C:\Users\isaac\Downloads\vlogs\frames\5133.jpg,0.020988792684074244,-0.017021111517493137,0.0461443537057637
51,C:\Users\isaac\Downloads\vlogs\frames\51330.jpg,-0.2874839873826398,0.2944012070426705,-0.1909237455982152
53,C:\Users\isaac\Downloads\vlogs\frames\51331.jpg,-0.041840514912316655,-0.10418547625395808,-0.061925448699689474
55,C:\Users\isaac\Downloads\vlogs\frames\51332.jpg,-1.125223012296168,0.08921906780031745,0.091376019667122
57,C:\Users\isaac\Downloads\vlogs\frames\51333.jpg,0.3040053548470447,-0.12043829822026443,-0.05780414898763038
